difficult,time,Operations
1,0.1166,27741
1,0.5927,229059
1,0.3951,155225
1,0.173,65940
1,0.0684,26542
1,0.7826,302221
1,0.3848,148815
1,0.0386,15005
1,0.2035,79035
1,0.263,102082
1,0.0783,30020
1,0.3682,142011
1,0.1829,70829
1,0.3362,128023
1,0.5976,231553
1,0.6203,240034
1,0.3705,141150
1,0.0165,6427
1,0.2847,112027
1,0.0384,15031
1,0.0356,13704
1,0.0452,17478
1,0.1372,53884
1,0.0054,2093
1,0.255,99102
1,0.3214,126684
1,0.0894,34776
1,0.2698,102488
1,0.0778,30698
1,0.284,110268
1,0.3133,121182
1,0.3407,131071
1,0.0324,12624
1,0.0051,1973
1,0.2763,106845
1,0.0096,3739
1,0.0724,28065
1,0.3507,135016
1,0.0496,19131
1,0.4296,165893
1,0.085,32435
1,0.0806,30411
1,0.5159,202659
1,0.4476,175679
1,0.1258,48831
1,0.1265,48778
1,0.8114,305603
1,0.2202,85077
1,0.0363,14167
1,0.1766,68433
2,1.2829,495079
2,12.2223,4523502
2,1.9633,751061
2,8.9659,3402975
2,4.7367,1811607
2,5.1095,1954567
2,0.0143,5402
2,2.0667,794740
2,1.4567,535432
2,4.987,1905204
2,2.5653,993656
2,1.8481,707957
2,1.6528,621625
2,13.2622,5100161
2,0.4284,165113
2,5.1133,1916840
2,1.388,524469
2,2.6509,1014911
2,0.28,104040
2,2.2537,735506
2,0.6892,242327
2,5.4397,2035647
2,3.5967,1380750
2,0.9078,344675
2,11.1946,4332647
2,5.7251,2230368
2,2.0491,788637
2,5.0852,1931649
2,2.1296,813679
2,0.4844,188136
2,1.3954,546858
2,1.4469,550923
2,1.1326,433133
2,1.8681,714511
2,11.9698,4504742
2,6.7793,2517562
2,1.6989,648679
2,3.9836,1387242
2,2.0369,774536
2,0.7945,302992
2,0.8785,333988
2,4.0994,1583153
2,1.0128,394448
2,1.0662,412292
2,0.0259,9799
2,0.0905,34993
2,2.5003,957943
2,1.4797,556266
2,1.2765,488674
2,1.2769,483655
3,7.2423,2761935
3,3.1699,1201990
3,3.2957,1252029
3,1.5787,608108
3,3.9155,1485146
3,12.7448,4863408
3,3.9708,1471237
3,3.6918,1433851
3,13.4692,4874266
3,18.6323,7163603
3,22.5885,8309143
3,21.4049,8090904
3,18.0028,6853853
3,21.5409,8066013
3,7.0911,2505976
3,27.8508,10000000
3,10.6802,4000069
3,1.1188,386655
3,6.967,2528076
3,25.7028,9435241
3,15.6555,5764055
3,0.3874,149634
3,13.3447,4993323
3,12.7717,4751561
3,7.4058,2760883
3,4.8736,1816712
3,11.0123,4188753
3,25.3974,9732687
3,17.0053,6356606
3,26.5023,10000000
3,1.2601,486710
3,16.5852,6305118
3,7.112,2534087
3,3.1713,1187784
3,12.3684,4444649
3,9.1564,3474374
3,2.5062,976699
3,4.1003,1585249
3,26.4108,10000000
3,0.6937,271491
3,26.7938,10000000
3,2.2492,861140
3,3.0051,1122511
3,17.5735,6651653
3,11.8239,4466596
3,2.1593,830275
3,8.8857,3437735
3,0.2882,108700
3,0.0369,14012
3,24.3316,9087906
