difficult,time,Operations,Difficulty,Elapsed Time (s)
1.0,0.0502,18782,,
1.0,0.6111,235500,,
1.0,1.0326,399729,,
1.0,0.916,348661,,
1.0,0.07,27329,,
1.0,0.0027,995,,
1.0,0.082,31475,,
1.0,0.0686,26779,,
1.0,0.3267,127769,,
1.0,0.1795,69001,,
1.0,0.042,16125,,
1.0,0.3853,147637,,
1.0,0.1941,75903,,
1.0,0.3699,142997,,
1.0,0.2444,96146,,
1.0,1.7688,665177,,
1.0,0.3559,134428,,
1.0,0.098,37705,,
1.0,0.1088,41642,,
1.0,0.3113,117977,,
1.0,0.2088,80534,,
1.0,0.4983,191725,,
1.0,0.1094,41466,,
1.0,1.0341,363203,,
1.0,0.3404,128103,,
1.0,1.0009,376770,,
1.0,0.4305,165816,,
1.0,0.4419,169753,,
1.0,0.0059,2250,,
1.0,0.9479,361306,,
1.0,0.0282,10600,,
1.0,0.1689,64056,,
1.0,0.5583,212382,,
1.0,0.3689,141233,,
1.0,0.4078,156329,,
1.0,0.3904,130908,,
1.0,0.4564,133216,,
1.0,0.4871,185499,,
1.0,0.2261,69238,,
1.0,1.4942,576336,,
1.0,0.0522,20234,,
1.0,0.0906,34691,,
1.0,0.4055,158706,,
1.0,0.3434,132886,,
1.0,0.7423,286079,,
1.0,0.068,25888,,
1.0,0.3712,143755,,
1.0,0.5558,213424,,
1.0,0.7781,294852,,
1.0,0.2685,102588,,
2.0,3.2619,1218195,,
2.0,0.1692,65457,,
2.0,0.3538,134491,,
2.0,1.9297,744077,,
2.0,0.0675,25435,,
2.0,7.4892,2795141,,
2.0,0.2065,77794,,
2.0,8.8922,3402366,,
2.0,0.6759,261240,,
2.0,2.4173,907178,,
2.0,0.3259,123374,,
2.0,1.2152,439534,,
2.0,5.4844,1792404,,
2.0,1.9878,757603,,
2.0,1.2353,475129,,
2.0,0.0912,35304,,
2.0,1.6965,596169,,
2.0,0.1987,68542,,
2.0,7.6317,2742527,,
2.0,5.0141,1895274,,
2.0,0.7985,296641,,
2.0,3.44,1324115,,
2.0,5.7021,1994584,,
2.0,0.1416,54373,,
2.0,5.2832,1877200,,
2.0,4.0924,1560505,,
2.0,5.1292,1840780,,
2.0,0.9176,349153,,
2.0,2.9144,1103365,,
2.0,1.4148,535941,,
2.0,9.012,3349069,,
2.0,4.0256,1506788,,
2.0,6.0735,2164432,,
2.0,3.74,1388161,,
2.0,0.1953,74650,,
2.0,7.2261,2575945,,
2.0,1.1146,401854,,
2.0,5.4421,1969099,,
2.0,0.3732,142816,,
2.0,1.9759,750966,,
2.0,0.7061,270396,,
2.0,0.1236,46662,,
2.0,0.0126,2894,,
2.0,1.5952,572027,,
2.0,7.2762,2779869,,
2.0,1.4157,539269,,
2.0,0.6016,226875,,
2.0,0.0293,10550,,
2.0,11.9409,4568171,,
2.0,0.4516,176897,,
3.0,7.4119,2893702,,
3.0,14.3904,5461080,,
3.0,3.9251,1490687,,
3.0,10.6336,3876727,,
3.0,2.7889,1061826,,
3.0,0.8974,328596,,
3.0,5.6415,1992414,,
3.0,0.68,262808,,
3.0,3.6489,1389839,,
3.0,1.2453,471579,,
3.0,0.156,59332,,
3.0,5.6637,2164164,,
3.0,2.5855,1003327,,
3.0,3.8455,1445365,,
3.0,1.5739,606615,,
3.0,0.2525,96893,,
3.0,16.8681,6478335,,
3.0,1.2889,492358,,
3.0,2.2119,838421,,
3.0,15.7356,6014181,,
3.0,2.324,841462,,
3.0,0.8685,332312,,
3.0,8.5958,3270176,,
3.0,0.1442,55477,,
3.0,2.3124,903263,,
3.0,10.2471,3942177,,
3.0,2.3498,906016,,
3.0,9.2203,3422127,,
3.0,34.9267,13025731,,
3.0,2.8544,1095241,,
3.0,0.3313,127749,,
3.0,0.3775,147787,,
3.0,0.0764,29290,,
3.0,4.4467,1674692,,
3.0,2.6039,1005525,,
3.0,1.5254,593306,,
3.0,25.0565,9285136,,
3.0,2.4952,954607,,
3.0,0.2335,89903,,
3.0,4.3254,1593745,,
3.0,1.4824,561732,,
3.0,2.8379,1069236,,
3.0,2.7618,1070799,,
3.0,6.4824,2366711,,
3.0,3.7497,1310467,,
3.0,1.0634,402524,,
3.0,0.9072,224678,,
3.0,5.2033,1967933,,
3.0,1.7091,645721,,
3.0,3.3028,1266135,,
